dataset,learning_rate,batch_size,epsilon,logP,logB,logG2,logTau,logLR,logN,T_star,converged,censored_reason,logInitLoss,logFinalLoss,cnn_family,depth_signature,downsample_type
MNIST,0.0005,32,0.1,11.459123764001873,3.4657359027997265,0.5571537550969858,0.6559937105129177,-7.600902459542082,11.002099841204238,47,True,,0.8119534089727962,-1.5649883863356997,vgg_lite,"[1, 1, 1]",pool
MNIST,0.0005,32,0.1,11.459123764001873,3.4657359027997265,0.3778941677370119,0.47800441443264907,-7.600902459542082,11.002099841204238,41,True,,0.8742224624185849,-1.4649384507835497,vgg_lite,"[1, 1, 1]",pool
MNIST,0.0005,32,0.1,12.639963227822042,3.4657359027997265,0.12596829617850755,0.2302427283216843,-7.600902459542082,11.002099841204238,26,True,,0.8716426968734813,-1.4498476499847703,resnet_mini,"[1, 1, 1]",proj_block
MNIST,0.0005,32,0.1,12.639963227822042,3.4657359027997265,0.1379919608448875,0.24313267583938755,-7.600902459542082,11.002099841204238,29,True,,0.8558049613583654,-1.4533562430045621,resnet_mini,"[1, 1, 1]",proj_block
MNIST,0.0005,32,0.1,10.408194495293941,3.4657359027997265,0.4098623006497971,0.5259423057743291,-7.600902459542082,11.002099841204238,39,True,,0.860248828598487,-1.4676873944612494,mobilenetv2_mini,tiny_cfg,stride2_dw
MNIST,0.0005,32,0.1,11.552549942753446,3.4657359027997265,0.04615409470703855,0.16256005567071277,-7.600902459542082,11.002099841204238,38,True,,0.8385949466975917,-1.473197328555806,vgg_lite,"[2, 1, 1]",pool
MNIST,0.0005,32,0.1,10.408194495293941,3.4657359027997265,0.43283995259511215,0.5398212130240326,-7.600902459542082,11.002099841204238,42,True,,0.8594349235937615,-1.4845898147481205,mobilenetv2_mini,tiny_cfg,stride2_dw
MNIST,0.0005,32,0.1,11.552549942753446,3.4657359027997265,0.17223809501011716,0.28029731482207393,-7.600902459542082,11.002099841204238,40,True,,0.8621622139576866,-1.5320268763642824,vgg_lite,"[2, 1, 1]",pool
MNIST,0.0005,32,0.1,11.130815490059645,3.4657359027997265,0.5083196710622889,0.6088032204519384,-7.600902459542082,11.002099841204238,24,True,,0.8237631322547023,-1.5595622161541727,mobilenetv2_mini,tiny_cfg,stride2_dw
MNIST,0.0005,32,0.1,11.856756275043766,3.4657359027997265,0.03895560304923052,0.14964781017700837,-7.600902459542082,11.002099841204238,29,True,,0.8681190058879682,-1.4543573813017867,vgg_lite,"[2, 2, 1]",pool
MNIST,0.0005,32,0.1,11.552549942753446,3.4657359027997265,0.06059673521924136,0.16888537859957373,-7.600902459542082,11.002099841204238,37,True,,0.8713077747013555,-1.4451722827227134,vgg_lite,"[2, 1, 1]",pool
MNIST,0.0005,32,0.1,10.408194495293941,3.4657359027997265,0.4798429216201302,0.5805336376700412,-7.600902459542082,11.002099841204238,43,True,,0.8843340986361553,-1.4360870711561708,mobilenetv2_mini,tiny_cfg,stride2_dw
