dataset,learning_rate,batch_size,epsilon,logP,logB,logG2,logTau,logLR,logN,T_star,converged,censored_reason,logInitLoss,logFinalLoss
MNIST,0.0005,32,0.2,11.81718437922679,3.4657359027997265,5.2844821346176865,5.329288144146254,-7.600902459542082,11.002099841204238,21,True,,1.0742687751710096,-0.7129174025279118
MNIST,0.0005,32,0.2,12.507457899065408,3.4657359027997265,6.352483499259227,6.342529100217187,-7.600902459542082,11.002099841204238,8,True,,1.0998004170721978,-0.6421134504005556
MNIST,0.0005,32,0.2,11.81718437922679,3.4657359027997265,4.919105447327281,5.061754480717251,-7.600902459542082,11.002099841204238,18,True,,1.0707744882878876,-0.5418610435533948
MNIST,0.0005,32,0.2,13.417647481056212,3.4657359027997265,6.379650186043142,6.423926015324624,-7.600902459542082,11.002099841204238,4,True,,0.9243593653090258,-0.8900724685456456
MNIST,0.0005,32,0.2,11.685146179584754,3.4657359027997265,5.805004335728127,5.886107153404121,-7.600902459542082,11.002099841204238,17,True,,1.0928444743232453,-0.7604562725353112
MNIST,0.0005,32,0.2,11.685146179584754,3.4657359027997265,5.8713025667459355,5.912969785333699,-7.600902459542082,11.002099841204238,16,True,,0.9669572372343889,-0.7766366486245506
MNIST,0.0005,32,0.2,11.81718437922679,3.4657359027997265,5.062750554349261,5.205649090906683,-7.600902459542082,11.002099841204238,19,True,,0.9764993305266255,-0.7917028190695471
MNIST,0.0005,32,0.2,12.726799093973426,3.4657359027997265,5.58462403474526,5.659266907251293,-7.600902459542082,11.002099841204238,10,True,,0.9972165920280797,-0.7810412908564279
MNIST,0.0005,32,0.2,11.81718437922679,3.4657359027997265,5.262439328125778,5.26095220965647,-7.600902459542082,11.002099841204238,19,True,,1.164119973474861,-0.4557603785813338
MNIST,0.0005,32,0.2,11.685146179584754,3.4657359027997265,6.292819038396902,6.3395318230739734,-7.600902459542082,11.002099841204238,18,True,,0.9672224611185294,-0.9963834627551956
MNIST,0.0005,32,0.2,12.507457899065408,3.4657359027997265,6.392841458607213,6.408757272863165,-7.600902459542082,11.002099841204238,8,True,,1.0967985046089626,-0.5140900885777747
MNIST,0.0005,32,0.2,12.726799093973426,3.4657359027997265,5.609459165033805,5.67218913156063,-7.600902459542082,11.002099841204238,10,True,,1.003227020086848,-0.9260071321747104
MNIST,0.0005,32,0.2,12.726799093973426,3.4657359027997265,5.469633552263865,5.546591324636293,-7.600902459542082,11.002099841204238,10,True,,0.9533192242370092,-0.6619923916171049
MNIST,0.0005,32,0.2,12.726799093973426,3.4657359027997265,5.4374211462511495,5.548597071681878,-7.600902459542082,11.002099841204238,9,True,,1.0918078512572778,-0.5844612780082423
MNIST,0.0005,32,0.2,11.685146179584754,3.4657359027997265,6.2702712622551,6.164924778234926,-7.600902459542082,11.002099841204238,15,True,,1.0112325521609793,-0.6692022256754768
MNIST,0.0005,32,0.2,12.507457899065408,3.4657359027997265,6.3581393192045885,6.38949648746272,-7.600902459542082,11.002099841204238,8,True,,1.069226974139814,-0.5798801198394464
MNIST,0.0005,32,0.2,11.685146179584754,3.4657359027997265,5.975483475007679,6.026506570936516,-7.600902459542082,11.002099841204238,16,True,,0.9601900483460585,-0.7685540658901752
MNIST,0.0005,32,0.2,13.748765871699728,3.4657359027997265,5.737038458640696,5.798695077118484,-7.600902459542082,11.002099841204238,5,True,,1.0311243913333137,-0.9175365592172587
MNIST,0.0005,32,0.2,11.685146179584754,3.4657359027997265,6.277933500818022,6.3323397335266325,-7.600902459542082,11.002099841204238,16,True,,0.9932124066789345,-0.8446028947791948
MNIST,0.0005,32,0.2,13.748765871699728,3.4657359027997265,5.391071382700573,5.512882258771202,-7.600902459542082,11.002099841204238,5,True,,1.0180694392022331,-0.9196385706867796
MNIST,0.0005,32,0.2,13.417647481056212,3.4657359027997265,6.349610977107097,6.415069058735892,-7.600902459542082,11.002099841204238,5,True,,1.0165879631966248,-1.232487097066783
MNIST,0.0005,32,0.2,11.685146179584754,3.4657359027997265,5.9881260640716265,6.001144486542884,-7.600902459542082,11.002099841204238,14,True,,0.899172117645781,-0.9282714313401891
MNIST,0.0005,32,0.2,11.685146179584754,3.4657359027997265,6.119702308429419,6.146443556252945,-7.600902459542082,11.002099841204238,15,True,,1.020876802600562,-0.6746686713348099
MNIST,0.0005,32,0.2,13.417647481056212,3.4657359027997265,6.3115597989294745,6.353505200138887,-7.600902459542082,11.002099841204238,4,True,,1.0192092653282723,-0.6149770773665826
MNIST,0.0005,32,0.2,13.417647481056212,3.4657359027997265,6.287608945528788,6.389229582140825,-7.600902459542082,11.002099841204238,5,True,,0.9850082714747586,-1.208862245873982
MNIST,0.0005,32,0.2,12.507457899065408,3.4657359027997265,6.470988123067906,6.47118359836798,-7.600902459542082,11.002099841204238,8,True,,1.0680620814380006,-0.746375808238815
MNIST,0.0005,32,0.2,13.417647481056212,3.4657359027997265,6.416239511980167,6.502506617212483,-7.600902459542082,11.002099841204238,4,True,,0.752669083686716,-0.9200430805963951
MNIST,0.0005,32,0.2,13.417647481056212,3.4657359027997265,6.404765000496837,6.39629191108332,-7.600902459542082,11.002099841204238,4,True,,1.1769846720727253,-0.5684896899496584
MNIST,0.0005,32,0.2,13.417647481056212,3.4657359027997265,6.231276914131436,6.272115436205387,-7.600902459542082,11.002099841204238,4,True,,1.0946563420220248,-0.5501934758488369
MNIST,0.0005,32,0.2,12.726799093973426,3.4657359027997265,5.444708900632579,5.52343484995233,-7.600902459542082,11.002099841204238,10,True,,1.0365302950494055,-0.5911061507909543
