dataset,transformer,learning_rate,batch_size,epsilon,logP,logB,logG2,logTau,logLR,logN,logInitLoss,logFinalLoss,T_star,converged
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.291607062,9.878691997,-7.60090246,6.907755279,0.865690268,-0.035450754,12,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.493135311,10.0459293,-7.60090246,6.907755279,0.852897185,0.090653247,13,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.443540891,10.00175397,-7.60090246,6.907755279,0.869973056,0.08924817,9,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.569400344,10.07919702,-7.60090246,6.907755279,0.867793713,0.021808687,26,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.42100705,10.01896754,-7.60090246,6.907755279,0.859483781,0.159424701,17,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.492862825,10.04475241,-7.60090246,6.907755279,0.865490215,0.166253824,14,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.384792802,9.946889568,-7.60090246,6.907755279,0.847352082,0.050695311,11,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.400336219,9.948988618,-7.60090246,6.907755279,0.867948065,0.154019439,48,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.456819621,9.986134028,-7.60090246,6.907755279,0.857311174,-0.010373448,15,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.386473808,9.956923323,-7.60090246,6.907755279,0.853279263,-0.106872198,11,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.372071615,9.93191543,-7.60090246,6.907755279,0.863975782,0.104923268,30,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.398580948,9.912348961,-7.60090246,6.907755279,0.877115687,0.146558374,14,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.35491002,9.923869804,-7.60090246,6.907755279,0.82777565,0.046051028,16,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.471578811,10.01381946,-7.60090246,6.907755279,0.83809987,0.016699878,15,TRUE
MNIST,deit_tiny_patch16_224,0.0005,50,0.5,15.5250374,3.465735903,6.429211097,10.01039519,-7.60090246,6.907755279,0.857218,0.161456085,28,TRUE
