dataset,learning_rate,batch_size,epsilon,logP,logB,logG2,logTau,logLR,logN,logInitLoss,logFinalLoss,T_star,converged
MNIST,0.0005,50,0.15,11.75936358,3.465735903,0.871779765,4.441134553,-7.60090246,11.00209984,0.833781541,-1.095480325,47,TRUE
MNIST,0.0005,50,0.15,11.93548365,3.465735903,0.739580145,4.302964924,-7.60090246,11.00209984,0.835552673,-1.1075099,43,TRUE
MNIST,0.0005,50,0.15,12.50413812,3.465735903,0.759449672,4.322226853,-7.60090246,11.00209984,0.834556564,-1.119191986,38,TRUE
MNIST,0.0005,50,0.15,12.61465954,3.465735903,0.613976931,4.184588831,-7.60090246,11.00209984,0.832969638,-1.067051126,35,TRUE
MNIST,0.0005,50,0.15,11.53047064,3.465735903,2.805196237,6.394076611,-7.60090246,11.00209984,0.846352629,-1.079258189,57,TRUE
MNIST,0.0005,50,0.15,11.52352905,3.465735903,0.759181187,4.333504254,-7.60090246,11.00209984,0.84092106,-1.136633182,51,TRUE
MNIST,0.0005,50,0.15,12.50366297,3.465735903,1.671832389,5.239222449,-7.60090246,11.00209984,0.832385585,-1.147913523,33,TRUE
MNIST,0.0005,50,0.15,12.50366297,3.465735903,1.567725774,5.138591928,-7.60090246,11.00209984,0.83747846,-1.159283044,34,TRUE
MNIST,0.0005,50,0.15,11.68136782,3.465735903,0.658875119,4.206610275,-7.60090246,11.00209984,0.832753807,-1.127942504,55,TRUE
MNIST,0.0005,50,0.15,11.53047064,3.465735903,2.883533745,6.431324331,-7.60090246,11.00209984,0.835502323,-1.09744466,51,TRUE
MNIST,0.0005,50,0.15,11.53047064,3.465735903,2.787544344,6.344360843,-7.60090246,11.00209984,0.841936329,-1.096876767,48,TRUE
MNIST,0.0005,50,0.15,10.91599714,3.465735903,1.18385243,4.797431876,-7.60090246,11.00209984,0.835087222,-1.095961996,72,TRUE
MNIST,0.0005,50,0.15,12.50366297,3.465735903,1.622706822,5.190962809,-7.60090246,11.00209984,0.839181773,-1.18091099,33,TRUE
MNIST,0.0005,50,0.15,11.68136782,3.465735903,0.637136621,4.240615513,-7.60090246,11.00209984,0.837034036,-1.118706022,58,TRUE
MNIST,0.0005,50,0.15,11.53047064,3.465735903,2.791030863,6.357253875,-7.60090246,11.00209984,0.835757358,-1.072444715,54,TRUE
MNIST,0.0005,50,0.15,12.29251636,3.465735903,1.344422185,4.926973737,-7.60090246,11.00209984,0.837616722,-1.102302627,43,TRUE
MNIST,0.0005,50,0.15,12.21535939,3.465735903,0.717067934,4.299581634,-7.60090246,11.00209984,0.8343418,-1.183720146,38,TRUE
MNIST,0.0005,50,0.15,12.29251636,3.465735903,1.304435739,4.901042541,-7.60090246,11.00209984,0.83118821,-1.116470399,43,TRUE
MNIST,0.0005,50,0.15,11.60263819,3.465735903,1.525146902,5.103557895,-7.60090246,11.00209984,0.840389375,-1.074174578,56,TRUE
MNIST,0.0005,50,0.15,12.55620121,3.465735903,0.558266425,4.112704676,-7.60090246,11.00209984,0.83833218,-1.069053746,38,TRUE
MNIST,0.0005,50,0.15,11.92239587,3.465735903,0.686268215,4.23853276,-7.60090246,11.00209984,0.838550831,-1.08274146,43,TRUE
MNIST,0.0005,50,0.15,10.91599714,3.465735903,1.34268531,4.893800073,-7.60090246,11.00209984,0.845504094,-1.091800261,80,TRUE
MNIST,0.0005,50,0.15,12.55620121,3.465735903,0.54089567,4.111481235,-7.60090246,11.00209984,0.834599201,-1.123954617,39,TRUE
MNIST,0.0005,50,0.15,11.93548365,3.465735903,0.736469404,4.297464973,-7.60090246,11.00209984,0.838454655,-1.15737993,42,TRUE
MNIST,0.0005,50,0.15,10.83742172,3.465735903,2.883786386,6.459224149,-7.60090246,11.00209984,0.844088848,-1.057512709,75,TRUE
MNIST,0.0005,50,0.15,11.0667946,3.465735903,0.67189476,4.261587422,-7.60090246,11.00209984,0.835863405,-1.062229722,67,TRUE
